rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared
1,boto3,1452829479,success,1,awscrt,4,3
2,urllib3,1168251588,clone_failed,0,,0,0
3,botocore,1065776884,success,2,"awscrt,certifi",5,3
4,requests,1055327819,success,4,"chardet,cryptography,openssl,simplejson",8,4
5,certifi,1048229881,success,0,,0,0
6,charset-normalizer,999167796,clone_failed,0,,0,0
7,idna,993879252,clone_failed,0,,0,0
8,typing-extensions,992728016,success,1,annotationlib,1,0
9,aiobotocore,895931528,success,0,,6,10
10,setuptools,830575444,success,4,"cython,jaraco,trove_classifiers,typing_extensions",8,46
11,python-dateutil,786572386,success,0,,1,4
12,grpcio-status,776825532,no_repo,0,,0,0
13,packaging,746576039,success,2,"pkg_resources,typing_extensions",2,0
14,six,742901509,success,1,stringio,1,0
15,s3transfer,636058537,success,1,awscrt,2,1
16,numpy,603389302,success,16,"charset_normalizer,github,numarray,numeric,numpy_api,numpy_distutils,pkg_resources,plex,psutil,pyinstaller,scipy_doctest,spin,tempita,threadpoolctl,ufunc_docstrings,win32pdh",16,0
17,cryptography,593195093,success,2,"packaging,tomli",6,23
18,pyyaml,592246845,success,0,,0,0
19,s3fs,577870758,success,7,"aiobotocore,botocore,cx_freeze,fsspec,py2exe,tomli,urllib3",7,1
20,pydantic,545536205,clone_failed,0,,0,0
21,cffi,528045545,success,5,"cstringio,dummy_thread,py,setup,thread",6,1
22,pycparser,490524594,success,6,"c_ast,cpickle,guppy,lextab,ply,yacctab",6,0
23,pandas,488404185,success,17,"adbc_driver_manager,appkit,botocore,bs4,cython,feedparser,foundation,ipython,markdown,markupsafe,odf,packaging,pyqt4,requests,traitlets,versioneer,zoneinfo",36,40
24,fsspec,474499665,success,8,"fuse,isal,libarchive,lzmaffi,requests_kerberos,smbclient,typing_extensions,ujson",26,49
25,click,471525365,success,1,typing_extensions,2,1
26,attrs,451433111,clone_failed,0,,0,0
27,pydantic-core,438959282,clone_failed,0,,0,0
28,pip,436844893,success,2,"keyring,typing_extensions",2,0
29,protobuf,421454804,no_repo,0,,0,0
30,markupsafe,408100875,success,1,typing_extensions,1,0
31,jmespath,396748602,success,0,,0,0
32,platformdirs,386977561,success,1,jnius,1,10
33,rsa,386498570,success,1,pyasn1,1,0
34,h11,386403807,success,2,"afl,typing_extensions",2,0
35,pytz,382099345,no_repo,0,,0,0
36,anyio,381820440,success,4,"outcome,sniffio,uvloop,winloop",8,4
37,pygments,378953112,success,4,"chardet,ctags,markdown,pil",5,1
38,sniffio,374340454,success,1,curio,1,0
39,jinja2,368674977,success,1,typing_extensions,2,2
40,annotated-types,364216837,success,1,typing_extensions,1,0
41,importlib-metadata,363826951,success,0,,1,21
42,pluggy,347666621,no_repo,0,,0,0
43,pyasn1,347281745,success,0,,0,0
44,zipp,335636021,success,0,,0,18
45,cachetools,330436528,success,0,,0,0
46,filelock,322057862,success,1,typing_extensions,1,0
47,wheel,315874883,success,0,,1,3
48,tzdata,308627533,success,3,"gnupg,parver,requests",3,0
49,google-api-core,305477511,success,6,"google,grpc,grpc_gcp,grpc_status,proto,typing_extensions",8,9
50,colorama,302010400,success,0,,0,0
51,typing-inspection,299790260,clone_failed,0,,0,0
52,aiohttp,299445105,success,3,"backports,gunicorn,uvloop",13,11
53,awscli,296648047,clone_failed,0,,0,0
54,httpx,294420463,clone_failed,0,,0,0
55,yarl,292245055,success,3,"cython,expandvars,tomli",6,3
56,multidict,291699061,success,0,,1,3
57,google-auth,290475864,success,20,"cachetools,certifi,cffi,cryptography,flask,google,grpc,jwt,oauth2client,openssl,packaging,pyasn1,pyasn1_modules,pytest_localserver,pyu2f,requests,rsa,synthtool,tests,urllib3",20,0
58,httpcore,288084087,success,1,sniffio,7,6
59,pyasn1-modules,279107161,clone_failed,0,,0,0
60,pytest,275578168,success,8,"annotationlib,numpy,pexpect,pkg_resources,py,twisted,typing_extensions,zope",17,14
61,frozenlist,271598710,success,3,"cython,expandvars,tomli",3,0
62,pyjwt,268680912,success,0,,1,7
63,jsonschema,268643330,clone_failed,0,,0,0
64,rich,267613136,success,5,"attr,ipython,ipywidgets,markdown_it,typing_extensions",5,0
65,googleapis-common-protos,267163800,clone_failed,0,,0,0
66,virtualenv,264770794,success,0,,3,24
67,aiosignal,263087380,success,0,,2,2
68,propcache,261009672,success,3,"cython,expandvars,tomli",3,0
69,iniconfig,260660124,success,0,,0,0
70,wrapt,257515261,success,0,,0,2
71,tqdm,254126250,success,9,"dask,importlib_resources,ipython,keras,matplotlib,pandas,rich,setuptools_scm,tensorflow",11,9
72,python-dotenv,253708774,success,1,ipython,1,1
73,pyarrow,253232741,success,23,"apache,archery,cffi,clr,dotenv,fsspec,gdb,github,github3,jinja2,jpype,matplotlib,numpy,numpydoc,pandas,pygit2,pythonnet,requests,ruamel,seaborn,semver,setuptools_scm,typing_extensions",23,0
74,markdown-it-py,251443264,success,4,"linkify_it,markdown_it,mdurl,typing_extensions",4,25
75,tomli,243633800,clone_failed,0,,0,0
76,requests-oauthlib,242366933,success,0,,2,2
77,mdurl,241803146,success,0,,0,0
78,sqlalchemy,241274029,success,5,"mysql,pyannotate_runtime,pysqlcipher3,sqla_plugin_base,sqlcipher3",14,25
79,greenlet,239043319,success,0,,0,3
80,aiohappyeyeballs,232331455,success,0,,0,0
81,pillow,231880243,success,4,"ipython,numpy,pyqt6,pyside6",6,22
