Started process at 11/13/2025, 1:16:38 AM with a total of 3621695 packages in npm

Done up to 50000 at 11/13/2025, 2:36:46 AM
Done up to 100000 at 11/13/2025, 3:27:57 AM
Done up to 150000 at 11/13/2025, 4:20:35 AM
Done up to 200000 at 11/13/2025, 9:18:09 AM
Done up to 250000 at 11/13/2025, 11:14:40 AM
Done up to 300000 at 11/13/2025, 12:31:20 PM
Done up to 350000 at 11/13/2025, 1:49:26 PM
Done up to 400000 at 11/13/2025, 3:34:11 PM
Done up to 450000 at 11/13/2025, 5:04:37 PM
Done up to 500000 at 11/13/2025, 6:21:40 PM
Done up to 550000 at 11/13/2025, 7:39:39 PM
Done up to 600000 at 11/13/2025, 9:01:10 PM
Done up to 650000 at 11/13/2025, 10:20:21 PM
Done up to 700000 at 11/13/2025, 11:33:10 PM
Done up to 750000 at 11/14/2025, 12:47:50 AM
Done up to 800000 at 11/14/2025, 1:44:14 AM
Done up to 850000 at 11/14/2025, 2:38:10 AM
Done up to 900000 at 11/14/2025, 3:31:22 AM
Done up to 950000 at 11/14/2025, 4:22:52 AM
Done up to 1000000 at 11/14/2025, 5:16:57 AM
Done up to 1050000 at 11/14/2025, 6:14:41 AM
Done up to 1100000 at 11/14/2025, 7:20:29 AM
Done up to 1150000 at 11/14/2025, 8:37:43 AM
Done up to 1200000 at 11/14/2025, 9:53:49 AM
Done up to 1250000 at 11/14/2025, 11:55:46 AM
Done up to 1300000 at 11/14/2025, 1:02:30 PM
Done up to 1350000 at 11/14/2025, 2:08:33 PM
Done up to 1400000 at 11/14/2025, 3:13:59 PM
Done up to 1450000 at 11/14/2025, 4:21:14 PM
Done up to 1500000 at 11/14/2025, 5:20:45 PM
Done up to 1550000 at 11/14/2025, 7:07:17 PM
Done up to 1600000 at 11/14/2025, 8:15:46 PM
Done up to 1650000 at 11/14/2025, 9:46:06 PM
Done up to 1700000 at 11/14/2025, 10:56:23 PM
Done up to 1750000 at 11/15/2025, 12:01:35 AM
Done up to 1800000 at 11/15/2025, 1:04:38 AM
Done up to 1850000 at 11/15/2025, 2:03:35 AM
Done up to 1900000 at 11/15/2025, 3:00:35 AM
Done up to 1950000 at 11/15/2025, 3:57:58 AM
Done up to 2000000 at 11/15/2025, 4:55:31 AM
Done up to 2050000 at 11/15/2025, 5:54:41 AM
Done up to 2100000 at 11/15/2025, 6:55:40 AM
Done up to 2150000 at 11/15/2025, 8:00:59 AM
Done up to 2200000 at 11/15/2025, 9:11:57 AM
Done up to 2250000 at 11/15/2025, 10:23:47 AM
Done up to 2300000 at 11/15/2025, 11:36:38 AM
Done up to 2350000 at 11/15/2025, 12:49:55 PM
Done up to 2400000 at 11/15/2025, 1:48:42 PM
Done up to 2450000 at 11/15/2025, 2:49:05 PM
Done up to 2500000 at 11/15/2025, 3:51:14 PM
Done up to 2550000 at 11/15/2025, 4:56:01 PM
Done up to 2600000 at 11/15/2025, 6:03:34 PM
Done up to 2650000 at 11/15/2025, 7:13:12 PM
Done up to 2700000 at 11/15/2025, 8:21:40 PM
Done up to 2750000 at 11/15/2025, 10:00:56 PM
Done up to 2800000 at 11/15/2025, 11:16:48 PM
Done up to 2850000 at 11/16/2025, 12:24:07 AM
Done up to 2900000 at 11/16/2025, 1:27:03 AM
Done up to 2950000 at 11/16/2025, 2:28:17 AM
Done up to 3000000 at 11/16/2025, 3:27:17 AM
Done up to 3050000 at 11/16/2025, 4:25:27 AM
Done up to 3100000 at 11/16/2025, 5:24:03 AM
Done up to 3150000 at 11/16/2025, 6:24:42 AM
Done up to 3200000 at 11/16/2025, 7:26:48 AM
Done up to 3250000 at 11/16/2025, 8:36:11 AM
Done up to 3300000 at 11/16/2025, 9:48:45 AM
Done up to 3350000 at 11/16/2025, 11:00:40 AM
Done up to 3400000 at 11/16/2025, 1:36:04 PM
Done up to 3450000 at 11/16/2025, 2:55:12 PM
Done up to 3500000 at 11/16/2025, 4:37:13 PM
Done up to 3550000 at 11/16/2025, 6:11:50 PM
Done up to 3600000 at 11/16/2025, 7:23:40 PM
