seed,usingPackage,usingVersion,phantomName,phantomVersion
ember-data,ember-cli-babel,8.2.0,rsvp,4.8.5
ember-data,ember-cli-babel,8.2.0,fs-extra,11.3.2
ember-data,broccoli-persistent-filter,3.1.3,async,3.2.6
@nuxt/ui,@nuxt/ui,4.2.1,vue,3.5.25
@nuxt/ui,@nuxt/ui,4.2.1,ufo,1.6.1
@nuxt/ui,@nuxt/ui,4.2.1,@vueuse/shared,14.0.0
@nuxt/ui,@nuxt/ui,4.2.1,@tanstack/table-core,8.21.3
terminal-kit,terminal-kit,3.1.2,pngjs,7.0.0
terminal-kit,terminal-kit,3.1.2,jpeg-js,0.4.4
terminal-kit,terminal-kit,3.1.2,ndarray-pack,1.2.1
terminal-kit,terminal-kit,3.1.2,omggif,1.0.10
terminal-kit,terminal-kit,3.1.2,node-bitmap,0.0.1
terminal-kit,terminal-kit,3.1.2,uniq,1.0.1
terminal-kit,terminal-kit,3.1.2,cwise-compiler,1.1.3
terminal-kit,terminal-kit,3.1.2,iota-array,1.0.0
terminal-kit,terminal-kit,3.1.2,is-buffer,2.0.5
terminal-kit,terminal-kit,3.1.2,setimmediate,1.0.5
deck.gl,@carto/api-client,0.5.22,@math.gl/core,4.1.0
deck.gl,@carto/api-client,0.5.22,@math.gl/web-mercator,4.1.0
deck.gl,@carto/api-client,0.5.22,d3-array,3.2.4
deck.gl,@carto/api-client,0.5.22,d3-color,3.1.0
@docusaurus/plugin-css-cascade-layers,@mdx-js/mdx,3.1.1,estree-util-visit,2.0.0
netlify-cli,ts-node,10.9.2,@tsconfig/node12,12.1.7
netlify-cli,ts-node,10.9.2,@tsconfig/node10,1.0.12
@uiw/react-md-editor,rehype-rewrite,4.0.3,unist-util-is,6.0.1
vega-geo,vega-geo,5.1.0,d3-dsv,3.0.1
vega-geo,vega-geo,5.1.0,topojson-client,3.1.0
vega-geo,vega-geo,5.1.0,d3-array,3.2.4
vega-geo,vega-geo,5.1.0,d3-format,3.1.0
vega-geo,vega-geo,5.1.0,d3-time,3.1.0
vega-geo,vega-geo,5.1.0,d3-time-format,4.1.0
vega-geo,vega-geo,5.1.0,d3-scale,4.0.2
vega-geo,vega-geo,5.1.0,d3-interpolate,3.0.1
vega-geo,vega-geo,5.1.0,d3-geo,3.1.1
vega-geo,vega-geo,5.1.0,d3-color,3.1.0
vega-geo,vega-projection,2.1.0,d3-array,3.2.4
vega-geo,vega-projection,2.1.0,d3-format,3.1.0
vega-geo,vega-projection,2.1.0,d3-time,3.1.0
vega-geo,vega-projection,2.1.0,d3-time-format,4.1.0
vega-geo,vega-projection,2.1.0,d3-scale,4.0.2
vega-geo,vega-projection,2.1.0,d3-interpolate,3.0.1
vega-geo,vega-projection,2.1.0,d3-geo,3.1.1
vega-geo,vega-projection,2.1.0,d3-color,3.1.0
vega-geo,vega-scale,8.1.0,d3-array,3.2.4
vega-geo,vega-scale,8.1.0,d3-format,3.1.0
vega-geo,vega-scale,8.1.0,d3-time,3.1.0
vega-geo,vega-scale,8.1.0,d3-time-format,4.1.0
vega-geo,vega-scale,8.1.0,d3-scale,4.0.2
vega-geo,vega-scale,8.1.0,d3-interpolate,3.0.1
vega-geo,vega-scale,8.1.0,d3-color,3.1.0
vega-geo,vega-time,3.1.0,d3-array,3.2.4
vega-geo,vega-time,3.1.0,d3-time,3.1.0
vega-geo,vega-dataflow,6.1.0,d3-dsv,3.0.1
vega-geo,vega-dataflow,6.1.0,topojson-client,3.1.0
vega-geo,vega-dataflow,6.1.0,d3-array,3.2.4
vega-geo,vega-dataflow,6.1.0,d3-format,3.1.0
vega-geo,vega-dataflow,6.1.0,d3-time,3.1.0
vega-geo,vega-dataflow,6.1.0,d3-time-format,4.1.0
vega-geo,vega-loader,5.1.0,d3-dsv,3.0.1
vega-geo,vega-loader,5.1.0,topojson-client,3.1.0
vega-geo,vega-loader,5.1.0,d3-array,3.2.4
vega-geo,vega-loader,5.1.0,d3-format,3.1.0
vega-geo,vega-loader,5.1.0,d3-time,3.1.0
vega-geo,vega-loader,5.1.0,d3-time-format,4.1.0
vega-geo,vega-format,2.1.0,d3-array,3.2.4
vega-geo,vega-format,2.1.0,d3-format,3.1.0
vega-geo,vega-format,2.1.0,d3-time,3.1.0
vega-geo,vega-format,2.1.0,d3-time-format,4.1.0
dragula,dragula,3.7.3,custom-event,1.0.1
vega-parser,vega-parser,7.1.0,d3-dsv,3.0.1
vega-parser,vega-parser,7.1.0,topojson-client,3.1.0
vega-parser,vega-parser,7.1.0,d3-array,3.2.4
vega-parser,vega-parser,7.1.0,d3-format,3.1.0
vega-parser,vega-parser,7.1.0,d3-time,3.1.0
vega-parser,vega-parser,7.1.0,d3-time-format,4.1.0
vega-parser,vega-parser,7.1.0,d3-shape,3.2.0
vega-parser,vega-parser,7.1.0,d3-path,3.1.0
vega-parser,vega-parser,7.1.0,d3-scale,4.0.2
vega-parser,vega-parser,7.1.0,d3-interpolate,3.0.1
vega-parser,vega-parser,7.1.0,d3-geo,3.1.1
vega-parser,vega-parser,7.1.0,d3-color,3.1.0
vega-parser,vega-scale,8.1.0,d3-array,3.2.4
vega-parser,vega-scale,8.1.0,d3-format,3.1.0
vega-parser,vega-scale,8.1.0,d3-time,3.1.0
vega-parser,vega-scale,8.1.0,d3-time-format,4.1.0
vega-parser,vega-scale,8.1.0,d3-scale,4.0.2
vega-parser,vega-scale,8.1.0,d3-interpolate,3.0.1
vega-parser,vega-scale,8.1.0,d3-color,3.1.0
vega-parser,vega-time,3.1.0,d3-array,3.2.4
vega-parser,vega-time,3.1.0,d3-time,3.1.0
vega-parser,vega-functions,6.1.0,d3-dsv,3.0.1
vega-parser,vega-functions,6.1.0,topojson-client,3.1.0
vega-parser,vega-functions,6.1.0,d3-array,3.2.4
vega-parser,vega-functions,6.1.0,d3-format,3.1.0
vega-parser,vega-functions,6.1.0,d3-time,3.1.0
vega-parser,vega-functions,6.1.0,d3-time-format,4.1.0
vega-parser,vega-functions,6.1.0,d3-shape,3.2.0
vega-parser,vega-functions,6.1.0,d3-path,3.1.0
vega-parser,vega-functions,6.1.0,d3-scale,4.0.2
vega-parser,vega-functions,6.1.0,d3-interpolate,3.0.1
vega-parser,vega-functions,6.1.0,d3-geo,3.1.1
vega-parser,vega-functions,6.1.0,d3-color,3.1.0
vega-parser,vega-selections,6.1.2,d3-array,3.2.4
vega-parser,vega-scenegraph,5.1.0,d3-dsv,3.0.1
vega-parser,vega-scenegraph,5.1.0,topojson-client,3.1.0
vega-parser,vega-scenegraph,5.1.0,d3-array,3.2.4
vega-parser,vega-scenegraph,5.1.0,d3-format,3.1.0
vega-parser,vega-scenegraph,5.1.0,d3-time,3.1.0
vega-parser,vega-scenegraph,5.1.0,d3-time-format,4.1.0
vega-parser,vega-scenegraph,5.1.0,d3-shape,3.2.0
vega-parser,vega-scenegraph,5.1.0,d3-path,3.1.0
vega-parser,vega-scenegraph,5.1.0,d3-scale,4.0.2
vega-parser,vega-scenegraph,5.1.0,d3-interpolate,3.0.1
vega-parser,vega-scenegraph,5.1.0,d3-color,3.1.0
vega-parser,vega-loader,5.1.0,d3-dsv,3.0.1
vega-parser,vega-loader,5.1.0,topojson-client,3.1.0
vega-parser,vega-loader,5.1.0,d3-array,3.2.4
vega-parser,vega-loader,5.1.0,d3-format,3.1.0
vega-parser,vega-loader,5.1.0,d3-time,3.1.0
vega-parser,vega-loader,5.1.0,d3-time-format,4.1.0
vega-parser,vega-format,2.1.0,d3-array,3.2.4
vega-parser,vega-format,2.1.0,d3-format,3.1.0
vega-parser,vega-format,2.1.0,d3-time,3.1.0
vega-parser,vega-format,2.1.0,d3-time-format,4.1.0
vega-parser,vega-dataflow,6.1.0,d3-dsv,3.0.1
vega-parser,vega-dataflow,6.1.0,topojson-client,3.1.0
vega-parser,vega-dataflow,6.1.0,d3-array,3.2.4
vega-parser,vega-dataflow,6.1.0,d3-format,3.1.0
vega-parser,vega-dataflow,6.1.0,d3-time,3.1.0
vega-parser,vega-dataflow,6.1.0,d3-time-format,4.1.0
vega-scale,vega-scale,8.1.0,d3-array,3.2.4
vega-scale,vega-scale,8.1.0,d3-format,3.1.0
vega-scale,vega-scale,8.1.0,d3-time,3.1.0
vega-scale,vega-scale,8.1.0,d3-time-format,4.1.0
vega-scale,vega-scale,8.1.0,d3-scale,4.0.2
vega-scale,vega-scale,8.1.0,d3-interpolate,3.0.1
vega-scale,vega-scale,8.1.0,d3-color,3.1.0
vega-scale,vega-time,3.1.0,d3-array,3.2.4
vega-scale,vega-time,3.1.0,d3-time,3.1.0
@vue/cli-plugin-unit-jest,jest-watch-typeahead,3.0.1,@jest/test-result,30.2.0
testem,testem,3.16.0,ws,8.18.3
