rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared,repo_url
1,boto3,1452829479,success,4,"awscrt,botocore,jmespath,s3transfer",6,38,https://github.com/boto/boto3
2,urllib3,1168251588,success,15,"anyio,backports,cryptography,httpx,hypercorn,idna,js,nox,pyodide,pytest,quart,quart-trio,trio,trustme,typing-extensions",22,5,https://github.com/urllib3/urllib3
3,botocore,1065776884,success,3,"awscrt,jmespath,python-dateutil",7,50,https://github.com/boto/botocore
4,requests,1055327819,success,6,"-typeshed,cryptography,pyopenssl,setuptools,simplejson,typing-extensions",11,12,https://github.com/psf/requests
5,certifi,1048229881,success,2,"distutils,setuptools",3,0,https://github.com/certifi/python-certifi
6,charset-normalizer,999167796,success,5,"chardet,mypyc,nox,setuptools,typing-extensions",6,0,https://github.com/jawah/charset_normalizer
7,idna,993879252,success,0,,0,3,https://github.com/kjd/idna
8,typing-extensions,992728016,success,2,"docutils,sphinx",4,0,https://github.com/python/typing_extensions
9,aiobotocore,895931528,success,1,anthropic,12,9,https://github.com/aio-libs/aiobotocore
10,setuptools,830575444,success,12,"-typeshed,cython,distutils,dl,docutils,importlib-resources,inflect,jaraco,jnius,path,trove-classifiers,typing-extensions",25,44,https://github.com/pypa/setuptools
11,python-dateutil,786572386,success,1,distutils,4,12,https://github.com/dateutil/dateutil
12,grpcio-status,776825532,no_repo,0,,0,0,
13,packaging,746576039,success,5,"httpx,nox,pkg-resources,ruamel,typing-extensions",9,2,https://github.com/pypa/packaging
14,six,742901509,success,4,"distutils,gdbm,pytest,setuptools",5,0,https://github.com/benjaminp/six
15,s3transfer,636058537,success,2,"awscrt,botocore",4,15,https://github.com/boto/s3transfer
16,numpy,603389302,success,33,"-dummy-thread,asv-runner,cffi,charset-normalizer,click,distutils,docutils,git,github,hypothesis,jinja2,matplotlib,mypy,numba,numpydoc,packaging,pandas,perf,pkg-resources,plex,psutil,pygments,pyinstaller,pytest,pytest-run-parallel,scipy-doctest,skbuild,sphinx,spin,threadpoolctl,toml,typing-extensions,win32pdh",42,0,https://github.com/numpy/numpy
17,cryptography,593195093,success,5,"click,coverage,nox,packaging,tomli",11,3,https://github.com/pyca/cryptography
18,pyyaml,592246845,success,5,"cython,distutils,setuptools,test-all,wheel",7,0,https://github.com/yaml/pyyaml
19,s3fs,577870758,success,6,"botocore,cx-freeze,py2exe,setuptools,tomli,urllib3",11,3,https://github.com/fsspec/s3fs
20,pydantic,545536205,clone_failed,0,,0,0,https://github.com/sponsors/samuelcolvin
21,cffi,528045545,success,33,"-bsdopendirtype,-btrfs-cffi,-builtin-,-cffi-backend,-cffi-test-import-from-lib,-curses-cffi,-dummy-thread,-extern-python-cffi,-gmp-cffi,-pwuid-cffi,-re-include-1,-readdir,-readdir2-cffi,-rec-structs-1,-rec-structs-2,-recopendirtype,-test-import-from-lib,-winclipboard-cffi,-xclient-cffi,cstringio,distutils,dummy-thread,hypothesis,imp,packaging,ply,pytest,pytest-run-parallel,pyyaml,re-python-pysrc,setuptools,test-module-name-in-package,thread",46,1,https://github.com/python-cffi/cffi
22,pycparser,490524594,success,2,"guppy,setuptools",3,0,https://github.com/eliben/pycparser
23,pandas,488404185,success,14,"-main-,-version-meson,adbc-driver-manager,appkit,botocore,docutils,foundation,git,markupsafe,odf,packaging,pyqt4,traitlets,vulture",55,87,https://github.com/pandas-dev/pandas
24,fsspec,474499665,success,9,"backports,isal,js,lzmaffi,requests-kerberos,smbclient,snappy,typing-extensions,ujson",31,50,https://github.com/fsspec/filesystem_spec
25,click,471525365,success,2,"-typeshed,typing-extensions",4,1,https://github.com/pallets/click
26,attrs,451433111,clone_failed,0,,0,0,https://github.com/sponsors/hynek
27,pydantic-core,438959282,clone_failed,0,,0,0,https://github.com/sponsors/samuelcolvin
28,pip,436844893,success,36,"-abcoll,-builtin-,-pypy-,-typeshed,attr,backports,cgi,configparser,cryptography,distutils,docutils,dummy-thread,dummy-threading,filelock,h2,htmlentitydefs,htmlparser,httplib,httpx,ipython,ipywidgets,java,jnius,js,keyring,nox,pyodide,pyyaml,queue,redis,sphinx,thread,typing-extensions,urllib2,urlparse,xmlrpclib",45,0,https://github.com/pypa/pip
29,protobuf,421454804,no_repo,0,,0,0,
30,markupsafe,408100875,success,2,"setuptools,typing-extensions",2,0,https://github.com/pallets/markupsafe
31,jmespath,396748602,success,0,,3,6,https://github.com/jmespath/jmespath.py
32,platformdirs,386977561,success,4,"git,github,jnius,pyyaml",6,0,https://github.com/tox-dev/platformdirs
33,rsa,386498570,success,0,,2,1,https://github.com/sybrenstuvel/python-rsa
34,h11,386403807,success,3,"afl,setuptools,typing-extensions",4,0,https://github.com/python-hyper/h11
35,pytz,382099345,no_repo,0,,0,0,
