phantomName,occurrences,seeds,packages
d3-array,19,4,12
d3-time,17,3,10
d3-format,14,3,9
d3-time-format,14,3,9
lodash,13,3,11
aproba,11,4,10
color-support,11,4,10
console-control-strings,11,4,10
has-unicode,11,4,10
set-blocking,11,4,10
wide-align,11,4,10
@babel/generator,9,3,8
@babel/parser,9,3,8
@babel/template,9,3,8
@babel/traverse,9,3,8
d3-color,9,4,7
semver,9,4,8
d3-dsv,8,2,6
d3-interpolate,8,3,6
d3-scale,8,3,6
npm-package-arg,8,4,7
topojson-client,8,2,6
validate-npm-package-name,8,4,7
ini,7,3,6
inquirer,7,3,6
pify,7,3,6
@npmcli/package-json,6,3,5
@npmcli/run-script,6,3,5
fs-extra,6,4,5
make-fetch-happen,6,3,5
minimatch,6,3,5
p-map,6,3,5
p-queue,6,3,5
ramda,6,1,6
ramda-adjunct,6,1,6
ssri,6,3,5
tar,6,3,5
tinyglobby,6,3,5
validate-npm-package-license,6,3,5
ci-info,5,3,4
libnpmpublish,5,3,4
npm-registry-fetch,5,3,4
@npmcli/arborist,4,2,3
@nx/devkit,4,2,3
@octokit/rest,4,2,3
byte-size,4,2,3
chalk,4,2,3
cmd-shim,4,2,3
columnify,4,2,3
conventional-changelog-core,4,2,3
conventional-recommended-bump,4,2,3
cosmiconfig,4,2,3
d3-geo,4,2,4
dedent,4,2,3
es-aggregate-error,4,1,4
execa,4,2,3
get-stream,4,2,3
git-url-parse,4,2,3
glob-parent,4,2,3
init-package-json,4,2,3
is-ci,4,2,3
is-stream,4,2,3
load-json-file,4,2,3
make-dir,4,2,3
multimatch,4,2,3
npm-packlist,4,2,3
p-map-series,4,2,3
p-reduce,4,2,3
pacote,4,2,3
pretty-format,4,2,3
read-cmd-shim,4,2,3
resolve-from,4,2,3
rimraf,4,2,3
slash,4,2,3
temp-dir,4,2,3
through,4,2,3
tmp,4,2,3
upath,4,2,3
uuid,4,2,3
write-file-atomic,4,2,3
write-pkg,4,2,3
yargs,4,2,3
yargs-parser,4,2,3
d3-path,3,1,3
d3-shape,3,1,3
axios,2,1,2
envinfo,2,1,2
libnpmaccess,2,1,2
p-pipe,2,1,2
p-waterfall,2,1,2
@jest/test-result,1,1,1
@math.gl/core,1,1,1
@math.gl/web-mercator,1,1,1
@tanstack/table-core,1,1,1
@tsconfig/node10,1,1,1
@tsconfig/node12,1,1,1
@vueuse/shared,1,1,1
async,1,1,1
custom-event,1,1,1
cwise-compiler,1,1,1
estree-util-visit,1,1,1
iota-array,1,1,1
is-buffer,1,1,1
jpeg-js,1,1,1
long,1,1,1
ndarray-pack,1,1,1
node-bitmap,1,1,1
omggif,1,1,1
pngjs,1,1,1
rollup,1,1,1
rsvp,1,1,1
setimmediate,1,1,1
ufo,1,1,1
uniq,1,1,1
unist-util-is,1,1,1
vscode-languageserver-protocol,1,1,1
vue,1,1,1
ws,1,1,1
