packageName,rank,downloads,phantomCount,vulnerablePhantomCount,phantomDeps
boto3,1,1452829479,4,0,awscrt;botocore;jmespath;s3transfer
urllib3,2,1168251588,13,4,anyio;backports;cryptography;httpx;hypercorn;idna;js;pyodide;quart;quart-trio;trio;trustme;typing-extensions
botocore,3,1065776884,3,0,awscrt;jmespath;python-dateutil
requests,4,1055327819,4,3,cryptography;pyopenssl;simplejson;typing-extensions
certifi,5,1048229881,0,0,
charset-normalizer,6,999167796,3,0,chardet;mypyc;typing-extensions
idna,7,993879252,0,0,
typing-extensions,8,992728016,1,1,docutils
aiobotocore,9,895931528,1,1,anthropic
setuptools,10,830575444,10,1,cython;dl;docutils;importlib-resources;inflect;jaraco;jnius;path;trove-classifiers;typing-extensions
python-dateutil,11,786572386,0,0,
packaging,13,746576039,3,1,httpx;ruamel;typing-extensions
six,14,742901509,1,0,gdbm
s3transfer,15,636058537,2,0,awscrt;botocore
numpy,16,603389302,25,6,asv-runner;cffi;charset-normalizer;click;docutils;github;jinja2;matplotlib;numba;numpydoc;packaging;pandas;perf;plex;psutil;pygments;pyinstaller;pytest-run-parallel;scipy-doctest;skbuild;spin;threadpoolctl;toml;typing-extensions;win32pdh
cryptography,17,593195093,3,0,click;packaging;tomli
pyyaml,18,592246845,2,0,cython;test-all
s3fs,19,577870758,5,1,botocore;cx-freeze;py2exe;tomli;urllib3
cffi,21,528045545,10,1,cstringio;dummy-thread;imp;packaging;ply;pytest-run-parallel;pyyaml;re-python-pysrc;test-module-name-in-package;thread
pycparser,22,490524594,1,0,guppy
pandas,23,488404185,11,1,adbc-driver-manager;appkit;botocore;docutils;foundation;markupsafe;odf;packaging;pyqt4;traitlets;vulture
fsspec,24,474499665,9,2,backports;isal;js;lzmaffi;requests-kerberos;smbclient;snappy;typing-extensions;ujson
click,25,471525365,1,0,typing-extensions
pip,28,436844893,29,9,attr;backports;cgi;configparser;cryptography;docutils;dummy-thread;dummy-threading;filelock;h2;htmlentitydefs;htmlparser;httplib;httpx;ipython;ipywidgets;java;jnius;js;keyring;pyodide;pyyaml;queue;redis;thread;typing-extensions;urllib2;urlparse;xmlrpclib
markupsafe,30,408100875,1,0,typing-extensions
jmespath,31,396748602,0,0,
platformdirs,32,386977561,3,1,github;jnius;pyyaml
rsa,33,386498570,0,0,
h11,34,386403807,2,0,afl;typing-extensions
anyio,36,381820440,4,0,outcome;sniffio;uvloop;winloop
pygments,37,378953112,5,3,chardet;ctags;docutils;markdown;pillow
sniffio,38,374340454,1,0,curio
jinja2,39,368674977,1,0,typing-extensions
annotated-types,40,364216837,1,0,typing-extensions
importlib-metadata,41,363826951,0,0,
pyasn1,43,347281745,0,0,
zipp,44,335636021,0,0,
cachetools,45,330436528,0,0,
filelock,46,322057862,3,1,github;pyyaml;typing-extensions
wheel,47,315874883,0,0,
tzdata,48,308627533,4,1,click;gnupg;parver;requests
colorama,50,302010400,0,0,
typing-inspection,51,299790260,0,0,
aiohttp,52,299445105,4,1,backports;gunicorn;pkgconfig;uvloop
awscli,53,296648047,9,4,botocore;jmespath;py2exe;pyasn1;pygments;python-dateutil;pyyaml;rsa;s3transfer
httpx,54,294420463,1,0,sniffio
yarl,55,292245055,8,2,cython;expandvars;idna;multidict;propcache;pydantic;pydantic-core;tomli
multidict,56,291699061,3,0,perf;pyperf;typing-extensions
google-auth,57,290475864,15,5,aioresponses;certifi;cffi;cryptography;dotenv;flask;googleapiclient;oauth2client;packaging;pyasn1;pyasn1-modules;pyopenssl;pytest-asyncio;pytest-localserver;pyu2f
httpcore,58,288084087,1,0,sniffio
pyasn1-modules,59,279107161,1,0,urllib2
pytest,60,275578168,18,3,asynctest;attr;filter-traceback-entry-as-str;imported;main-app;ns-pkg;numpy;pexpect;platformdirs;pypandoc;pyyaml;requests-cache;tabulate;tqdm;trio;typing-extensions;xdist;xxxpackage
frozenlist,61,271598710,3,0,cython;expandvars;tomli
pyjwt,62,268680912,0,0,
jsonschema,63,268643330,3,1,pyperf;requests;rpds
rich,64,267613136,5,1,attr;ipython;markdown-it;typing-extensions;wcwidth
virtualenv,66,264770794,1,0,packaging
aiosignal,67,263087380,2,0,frozenlist;typing-extensions
propcache,68,261009672,3,0,cython;expandvars;tomli
iniconfig,69,260660124,0,0,
wrapt,70,257515261,0,0,
tqdm,71,254126250,8,4,alive-progress;importlib-resources;ipython;matplotlib;numpy;pandas;progressbar;tensorflow
python-dotenv,72,253708774,0,0,
pyarrow,73,253232741,22,4,apache;clr;dotenv;fastparquet;fsspec;gdb;github;github3;jinja2;jpype;matplotlib;memory-profiler;numpydoc;pygit2;pygments;pythonnet;pyyaml;ruamel;seaborn;selenium;semver;typing-extensions
markdown-it-py,74,251443264,2,0,linkify-it;typing-extensions
tomli,75,243633800,1,0,mypyc
requests-oauthlib,76,242366933,0,0,
mdurl,77,241803146,0,0,
sqlalchemy,78,241274029,6,1,black;pyannotate-runtime;pysqlcipher3;sqla-plugin-base;sqlcipher3;tools
greenlet,79,239043319,1,0,pyperf
aiohappyeyeballs,80,232331455,0,0,
pillow,81,231880243,7,0,arro3;atheris;humanize;prettytable;pyqt6;pyside6;termcolor
grpcio,82,231606452,16,5,apiclient;bazel;contrib;googleapiclient;greenlet;hpack;httplib2;jinja2;pyjwt;mako;oauth2client;prometheus-client;python-dateutil;src;upb;uvloop
pathspec,83,231492436,3,0,packaging;pytest-benchmark;tomli
psutil,85,229581650,5,2,anthropic;github;pyperf;pypinfo;requests
pyparsing,88,226895945,1,0,railroad
scipy,89,226870057,20,6,asv-runner;beautifulsoup4;cffi;cupy;cupyx;dask;docutils;jax;packaging;pandas;platformdirs;psutil;pyfftw;pytest-fail-slow;pytest-run-parallel;scikits;sksparse;sympy;torch;urllib3
lxml,90,224041829,10,4,beautifulsoup;beautifulsoup4;cgi;docutils;html5lib;htmlentitydefs;lxml-html-clean;pygments;urllib2;urlparse
soupsieve,94,220165531,1,0,beautifulsoup4
tomlkit,95,211162790,0,0,
oauthlib,96,210755569,1,1,pyjwt
snowflake-connector-python,99,203111712,34,14,aiohttp;asn1crypto;backports;brotli;brotlicffi;certifi;chardet;charset-normalizer;cryptography;cython;dummy-threading;faker;filelock;h2;idna;jenkins-test-parameters;js;pyjwt;numpy;packaging;pandas;parameters;platformdirs;pyarrow;pyodide;pytz;pyyaml;simplejson;snowflake;sortedcontainers;sqlalchemy;tomlkit;typing-extensions;tzlocal
fastapi,100,195257040,18,5,a2wsgi;anyio;flask;github;pyjwt;markupsafe;multipart;orjson;playwright;pwdlib;pydantic-ai;pydantic-core;rich;scripts;slugify;sqlmodel;strawberry;typer
distlib,101,193566665,14,0,cgi;configparser;dummy-thread;dummy-threading;htmlentitydefs;htmlparser;httplib;imp;java;queue;thread;urllib2;urlparse;xmlrpclib
pyopenssl,102,192917881,3,1,cffi;cryptography;typing-extensions
grpcio-tools,103,191721578,16,5,apiclient;bazel;contrib;googleapiclient;greenlet;hpack;httplib2;jinja2;pyjwt;mako;oauth2client;prometheus-client;python-dateutil;src;upb;uvloop
requests-toolbelt,104,191717796,6,4,cryptography;pyopenssl;queue;requests;urllib3;urlparse
opentelemetry-semantic-conventions,106,188607865,5,2,griffe;jinja2;psutil;readme-renderer;toml
exceptiongroup,107,185374845,1,0,apport-python-hook
trove-classifiers,108,185095916,1,0,natsort
more-itertools,109,184711284,0,0,
werkzeug,110,181131658,3,1,colorama;cryptography;typing-extensions
isodate,111,180589386,0,0,
yandexcloud,112,179678706,2,2,grpcio;pyjwt
msgpack,113,175287419,0,0,
opentelemetry-sdk,114,171499356,5,2,griffe;jinja2;psutil;readme-renderer;toml
regex,116,167525472,0,0,
mypy-extensions,117,167369018,0,0,
opentelemetry-api,118,167047771,5,2,griffe;jinja2;psutil;readme-renderer;toml
opentelemetry-proto,119,165198165,5,2,griffe;jinja2;psutil;readme-renderer;toml
google-cloud-storage,120,165080102,6,3,google-crc32c;jinja2;proto;pyyaml;synthtool;urllib3
websocket-client,121,162674215,2,0,python-socks;wsaccel
opensearch-py,122,162517119,21,10,aiohttp;black;botocore;certifi;click;deepmerge;events;jinja2;multidict;numpy;opensearchpy1;pandas;python-dateutil;pytz;pyyaml;queue;requests;simplejson;unasync;urllib3;yarl
pexpect,123,162387709,1,0,queue
ptyprocess,124,162334282,0,0,
shellingham,125,161685773,3,0,invoke;parver;towncrier
psycopg2-binary,126,160174649,2,0,better;psycopg2
flask,128,158403237,3,1,cryptography;dotenv;typing-extensions
tenacity,129,157842022,3,0,sniffio;trio;typing-extensions
requests-aws4auth,130,156675287,1,1,requests
pynacl,131,155900291,1,0,click
scikit-learn,132,146614098,23,6,bhtsne;catboost;click;defusedxml;docutils;fbpca;github;glmnet;jax;jinja2;jupyterlite-sphinx;lightgbm;lightning;mpl-toolkits;ndonnx;packaging;pytest-run-parallel;pyyaml;requests;scipy-doctest;spin;typing-extensions;xgboost
coverage,133,146594341,9,3,cog;eventlet;gevent;greenlet;lnotab;new;requests;scriv;wcmatch
wcwidth,136,141010354,0,0,
async-timeout,137,140104054,0,0,
msal,138,137367943,9,3,basehttpserver;cgi;cryptography;dotenv;pyjwt;msal-extensions;pymsalruntime;requests;urlparse
networkx,139,136881714,1,1,requests
asn1crypto,140,135909273,9,0,cgi;cstringio;flake8;imp;oscrypto;oscrypto-tests;urllib2;urlparse;userdict
bcrypt,141,135704373,1,0,click
events,142,135074442,0,0,
python-multipart,143,134789371,1,0,atheris
dnspython,144,133721918,3,0,anyio;pythoncom;sniffio
google-genai,145,132528413,4,2,httpx-aiohttp;ipython;multidict;pyyaml
opentelemetry-exporter-otlp-proto-http,146,132356495,5,2,griffe;jinja2;psutil;readme-renderer;toml
poetry-core,147,131973953,1,0,typing-extensions
openai,148,129905130,4,0,griffe;pydantic-core;rich;trio
matplotlib,150,128440095,31,10,cairo;cairocffi;certifi;colorspacious;docutils;fontforge;gi;ipykernel;ipython;jinja2;keyring;mpl-sphinx-theme;mpl-toolkits;pandas;psutil;pydata-sphinx-theme;pyqt5;pyqt6;pyside2;pyside6;pyyaml;requests;requests-cache;setuptools-scm;shiboken2;shiboken6;sip;sphinx-gallery;tornado;typing-extensions;wx
gitpython,151,128198506,1,0,atheris
websockets,152,128021729,8,2,aioredis;atheris;django;django-redis;exceptiongroup;python-socks;sesame;werkzeug
joblib,153,126827111,13,7,dask;distributed;dummy-threading;lz4;matplotlib;memory-profiler;nibabel;numpy;pandas;psutil;scikit-learn;tornado;viztracer
threadpoolctl,154,126326398,1,0,pyodide-js
huggingface-hub,155,125827857,31,15,anyio;authlib;click;duckdb;fastai;fastapi;filelock;fsspec;github;gradio;hf-xet;httpcore;httpx;ipython;ipywidgets;jinja2;libcst;mcp;numpy;packaging;pillow;pydantic;pyyaml;safetensors;starlette;tensorboardx;toml;torch;torch-xla;typer;typing-extensions
deprecated,156,124817842,2,0,inspect2;wrapt
chardet,157,124202675,4,0,cchardet;charade;charset-normalizer;datasets
opentelemetry-exporter-otlp-proto-grpc,158,123638548,5,2,griffe;jinja2;psutil;readme-renderer;toml
fonttools,160,123061397,23,4,appkit;bumpversion;cairo;carbon;cffsubr;defcon;easydialogs;freetype;lz4;matplotlib;mpl-toolkits;numpy;pathops;pillow;py;pyqt5;quartz;readme-renderer;reportlab;res;typing-extensions;wx;xattr
smmap,161,121223660,1,0,ez-setup
zstandard,162,120026109,1,0,conda-build
opentelemetry-instrumentation,163,119829533,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
gitdb,164,119168208,2,0,gitdb-speedups;sha
tabulate,165,118165636,0,0,
keyring,166,118084177,7,0,dbus;gi;jaraco;pluggy;pywintypes;win32cred;win32ctypes
opentelemetry-exporter-otlp-proto-common,167,117723569,5,2,griffe;jinja2;psutil;readme-renderer;toml
distro,168,117684428,0,0,
itsdangerous,169,117058810,1,0,typing-extensions
google-resumable-media,170,116598491,6,2,aiohttp;crcmod;google-crc32c;mock;multidict;urllib3
google-api-python-client,171,116305004,11,4,httplib2;jinja2;noxfile-config;numpy;oauth2client;pyyaml;settings;synthtool;uritemplate;webapp2;webapp2-extras
paramiko,172,116066908,3,0,alabaster;invocations;nacl
prompt-toolkit,173,115469740,2,1,asyncssh;typing-extensions
google-crc32c,175,114339209,1,0,noxfile-config
kiwisolver,176,114312954,2,0,cppy;perf
pyproject-hooks,177,113758492,0,0,
langsmith,178,113577146,19,9,agents;anthropic;langchain;langchain-anthropic;langchain-core;langchain-openai;numpy;openai;openapi-spec-validator;pandas;pyperf;pyyaml;rapidfuzz;simsimd;strands;tqdm;typing-extensions;urllib3;vcr
build,179,112966651,0,0,
jaraco-classes,180,111816271,1,0,typing-extensions
blinker,181,111744893,0,0,
fastjsonschema,182,111726514,3,0,jsonschema;jsonspec;validictory
