phantomName,occurrences,packages,vulnerabilityCount,fixedAvailable,maxSeverity,advisoryIds
typing-extensions,113,113,0,false,,
requests,62,62,13,true,HIGH,GHSA-652x-xj99-gmcc;GHSA-9hjg-9r4m-mvj7;GHSA-9wx4-h78v-vm56;GHSA-cfj3-7x9c-4p3h;GHSA-gc5v-m9x4-r6x2;GHSA-j8r2-6x86-q33q;GHSA-pg2w-x9wp-vw92;GHSA-x84v-xcm2-53pg;PYSEC-2014-13;PYSEC-2014-14;PYSEC-2015-17;PYSEC-2018-28;PYSEC-2023-74
numpy,45,45,16,true,CRITICAL,GHSA-2fc2-6r4j-p65h;GHSA-5545-2q6w-2gh6;GHSA-6p56-wp2h-9hxr;GHSA-9fq2-x9r6-wfmf;GHSA-cw6w-4rcx-xphc;GHSA-f7c7-j99h-c22f;GHSA-fpfv-jqm9-f5jm;GHSA-frgw-fgh6-9g52;PYSEC-2017-1;PYSEC-2018-33;PYSEC-2018-34;PYSEC-2019-108;PYSEC-2021-854;PYSEC-2021-855;PYSEC-2021-856;PYSEC-2021-857
packaging,44,44,0,false,,
ipython,43,43,16,true,CRITICAL,GHSA-29gw-9793-fvw7;GHSA-4vwq-x64q-j4cj;GHSA-66gw-5xpf-gfp5;GHSA-75cw-5cgv-g853;GHSA-7fc2-rm35-2pp7;GHSA-92mr-v722-f48m;GHSA-pq7m-3gw7-gq5x;GHSA-q326-jhw3-699g;PYSEC-2014-21;PYSEC-2015-24;PYSEC-2015-25;PYSEC-2017-45;PYSEC-2017-46;PYSEC-2017-47;PYSEC-2022-12;PYSEC-2023-17
jinja2,40,40,16,true,HIGH,GHSA-462w-v97r-4m45;GHSA-8r7q-cvjq-x353;GHSA-cpwx-vrp4-4pq7;GHSA-fqh9-2qgg-h84h;GHSA-g3rq-g295-4j3m;GHSA-gmj6-6f8f-6699;GHSA-h5c8-rqwp-cp95;GHSA-h75v-3vvj-5mfj;GHSA-hj2j-77xm-mc5v;GHSA-q2x7-8rv6-6q7h;PYSEC-2014-8;PYSEC-2014-82;PYSEC-2019-217;PYSEC-2019-220;PYSEC-2021-66;PYSEC-2025-74
pyyaml,39,39,8,true,CRITICAL,GHSA-3pqx-4fqf-j49f;GHSA-6757-jp84-gxfx;GHSA-8q59-q68h-6hv4;GHSA-rprw-h62v-c2w7;PYSEC-2018-49;PYSEC-2020-176;PYSEC-2020-96;PYSEC-2021-142
pydantic-core,37,37,0,false,,
tomli,36,36,0,false,,
urllib3,36,36,32,true,CRITICAL,GHSA-2xpw-w6gg-jr37;GHSA-34jh-p97f-mpxf;GHSA-38jv-5279-wg99;GHSA-48p4-8xcf-vxj5;GHSA-5phf-pp7p-vc2r;GHSA-g4mx-q9vg-27p4;GHSA-gm62-xv2j-4w53;GHSA-gwvm-45gx-3cf8;GHSA-hmv2-79q8-fv6g;GHSA-mf9v-mfxr-j63j;GHSA-mh33-7rrq-662w;GHSA-pq67-6m6q-mj2v;GHSA-q2q7-5pp4-w6pg;GHSA-qccp-gfcp-xxvc;GHSA-r64q-w8jr-g9qp;GHSA-v4w5-p2hg-8fh6;GHSA-v845-jxx5-vc9f;GHSA-wqvq-5m8c-6g24;GHSA-www2-v7xj-xrc6;PYSEC-2017-98;PYSEC-2018-32;PYSEC-2019-132;PYSEC-2019-133;PYSEC-2020-148;PYSEC-2020-149;PYSEC-2021-108;PYSEC-2021-59;PYSEC-2023-192;PYSEC-2023-207;PYSEC-2023-212;PYSEC-2026-141;PYSEC-2026-142
psutil,32,32,2,true,HIGH,GHSA-qfc5-mcwq-26q8;PYSEC-2019-41
botocore,29,29,0,false,,
pyjwt,28,28,8,true,HIGH,GHSA-752w-5fwx-jx9f;GHSA-75c5-xw7c-p5pm;GHSA-ffqj-6fqr-9h24;GHSA-r9jw-mwhq-wp62;PYSEC-2017-24;PYSEC-2022-202;PYSEC-2025-183;PYSEC-2026-120
langchain-core,27,27,10,true,CRITICAL,GHSA-2g6r-c272-w58r;GHSA-5chr-fjjv-38qv;GHSA-6qv9-48xg-fc7f;GHSA-926x-3r5x-gfhw;GHSA-c67j-w6g6-q2cm;GHSA-h59x-p739-982c;GHSA-pjwx-r37v-7724;GHSA-q84m-rmw3-4382;GHSA-qh6h-p6c9-ff54;PYSEC-2024-45
pandas,27,27,1,true,UNKNOWN,PYSEC-2020-73
pillow,26,26,118,true,CRITICAL,GHSA-3c5c-7235-994j;GHSA-3f63-hfp8-52jq;GHSA-3wvg-mj6g-m9cv;GHSA-3xv8-3j54-hgrp;GHSA-43fq-w8qq-v88h;GHSA-44wm-f244-xhp3;GHSA-4fx9-vc88-q2xc;GHSA-57h3-9rgr-c24m;GHSA-5gm3-px64-rw72;GHSA-5xmw-vc9v-4wf2;GHSA-7534-mm45-c74v;GHSA-77gc-v2xv-rvvh;GHSA-7r7m-5h27-29hp;GHSA-8843-m7mw-mxqm;GHSA-8ghj-p4vj-mr35;GHSA-8m9x-pxwq-j236;GHSA-8vj2-vxx3-667w;GHSA-8xjq-8fcg-g5hw;GHSA-8xjv-v9xq-m5h9;GHSA-95q3-8gr9-gm8w;GHSA-98vv-pw6r-q6q4;GHSA-9hx2-hgq2-2g4f;GHSA-9j59-75qj-795w;GHSA-cfh3-3jmp-rvhc;GHSA-cfmr-38g9-f2h7;GHSA-cqhg-xjhh-p8hf;GHSA-f4w8-cv6p-x6r5;GHSA-f5g8-5qq7-938w;GHSA-g6rj-rv7j-xwp4;GHSA-h5rf-vgqx-wjv2;GHSA-hf64-x4gq-p99h;GHSA-hggx-3h72-49ww;GHSA-hj69-c76v-86wr;GHSA-hjfx-8p6c-g7gx;GHSA-hr8g-f6r6-mr22;GHSA-hvr8-466p-75rh;GHSA-j6f7-g425-4gmx;GHSA-j7hp-h8jx-5ppr;GHSA-j7mj-748x-7p78;GHSA-jgpv-4h4c-xhw3;GHSA-m2vv-5vj5-2hm7;GHSA-mvg9-xffr-p774;GHSA-p43w-g3c5-g5mq;GHSA-p49h-hjvm-jg3h;GHSA-pw3c-h7wp-cvhx;GHSA-pwv6-vv43-88gr;GHSA-q4mp-jvh2-76fj;GHSA-q5hq-fp76-qmrc;GHSA-r73j-pqj5-w3x7;GHSA-r7rm-8j6h-r933;GHSA-r854-96gq-rfg3;GHSA-rwr3-c2q8-gm56;GHSA-rwv7-3v45-hg29;GHSA-v9pc-9mvp-x87g;GHSA-vcqg-3p29-xw73;GHSA-vj42-xq3r-hr3r;GHSA-vqcj-wrf2-7v73;GHSA-w4vg-rf63-f3j3;GHSA-whj4-6x5x-4v2j;GHSA-wjx4-4jcj-g98j;GHSA-x895-2wrm-hvp7;GHSA-xg8h-j46f-w952;GHSA-xrcv-f9gm-v42c;OSV-2022-1074;OSV-2022-715;PYSEC-2014-10;PYSEC-2014-22;PYSEC-2014-23;PYSEC-2014-87;PYSEC-2015-15;PYSEC-2015-16;PYSEC-2016-19;PYSEC-2016-5;PYSEC-2016-6;PYSEC-2016-7;PYSEC-2016-8;PYSEC-2016-9;PYSEC-2017-92;PYSEC-2019-110;PYSEC-2020-172;PYSEC-2020-76;PYSEC-2020-77;PYSEC-2020-78;PYSEC-2020-79;PYSEC-2020-80;PYSEC-2020-81;PYSEC-2020-82;PYSEC-2020-83;PYSEC-2020-84;PYSEC-2021-137;PYSEC-2021-138;PYSEC-2021-139;PYSEC-2021-317;PYSEC-2021-331;PYSEC-2021-35;PYSEC-2021-36;PYSEC-2021-37;PYSEC-2021-38;PYSEC-2021-39;PYSEC-2021-40;PYSEC-2021-41;PYSEC-2021-42;PYSEC-2021-69;PYSEC-2021-70;PYSEC-2021-71;PYSEC-2021-92;PYSEC-2021-93;PYSEC-2021-94;PYSEC-2022-10;PYSEC-2022-168;PYSEC-2022-42979;PYSEC-2022-42980;PYSEC-2022-43145;PYSEC-2022-8;PYSEC-2022-9;PYSEC-2023-175;PYSEC-2023-227;PYSEC-2025-61
python-dateutil,25,25,0,false,,
readme-renderer,25,25,0,false,,
elastic-transport,24,24,0,false,,
gevent,24,24,2,true,CRITICAL,GHSA-x7m3-jprg-wc5g;PYSEC-2023-177
click,23,23,0,false,,
dotenv,23,23,0,false,,
mysqldb,23,23,0,false,,
urlparse,23,23,0,false,,
attr,22,22,0,false,,
cython,22,22,0,false,,
docutils,22,22,2,true,CRITICAL,GHSA-cg75-6938-wx58;PYSEC-2019-176
multidict,22,22,0,false,,
urllib2,22,22,0,false,,
github,21,21,0,false,,
snappy,21,21,0,false,,
yarl,20,20,0,false,,
agents,19,19,0,false,,
certifi,19,19,6,true,HIGH,GHSA-248v-346w-9cwc;GHSA-43fp-rhv2-5gv8;GHSA-xqr8-7jwr-rhp7;PYSEC-2022-42986;PYSEC-2023-135;PYSEC-2024-230
colorama,19,19,0,false,,
pytz,19,19,0,false,,
anyio,18,18,0,false,,
backports,18,18,0,false,,
billiard,18,18,0,false,,
