seed,phantomName,phantomVersion
@nuxt/ui,vue,3.5.25
@nuxt/ui,ufo,1.6.1
@nuxt/ui,@vueuse/shared,14.0.0
@nuxt/ui,@tanstack/table-core,8.21.3
terminal-kit,pngjs,7.0.0
terminal-kit,jpeg-js,0.4.4
terminal-kit,ndarray-pack,1.2.1
terminal-kit,omggif,1.0.10
terminal-kit,node-bitmap,0.0.1
terminal-kit,uniq,1.0.1
terminal-kit,cwise-compiler,1.1.3
terminal-kit,iota-array,1.0.0
terminal-kit,is-buffer,2.0.5
terminal-kit,setimmediate,1.0.5
vega-geo,d3-dsv,3.0.1
vega-geo,topojson-client,3.1.0
vega-geo,d3-array,3.2.4
vega-geo,d3-format,3.1.0
vega-geo,d3-time,3.1.0
vega-geo,d3-time-format,4.1.0
vega-geo,d3-scale,4.0.2
vega-geo,d3-interpolate,3.0.1
vega-geo,d3-geo,3.1.1
vega-geo,d3-color,3.1.0
dragula,custom-event,1.0.1
vega-parser,d3-dsv,3.0.1
vega-parser,topojson-client,3.1.0
vega-parser,d3-array,3.2.4
vega-parser,d3-format,3.1.0
vega-parser,d3-time,3.1.0
vega-parser,d3-time-format,4.1.0
vega-parser,d3-shape,3.2.0
vega-parser,d3-path,3.1.0
vega-parser,d3-scale,4.0.2
vega-parser,d3-interpolate,3.0.1
vega-parser,d3-geo,3.1.1
vega-parser,d3-color,3.1.0
vega-scale,d3-array,3.2.4
vega-scale,d3-format,3.1.0
vega-scale,d3-time,3.1.0
vega-scale,d3-time-format,4.1.0
vega-scale,d3-scale,4.0.2
vega-scale,d3-interpolate,3.0.1
vega-scale,d3-color,3.1.0
testem,ws,8.18.3
@appium/base-driver,axios,1.13.2
@appium/base-driver,lodash,4.17.21
@swagger-api/apidom-parser-adapter-openapi-json-2,ramda,0.32.0
@swagger-api/apidom-parser-adapter-openapi-json-2,ramda-adjunct,5.1.0
@lerna/version,@nx/devkit,22.1.1
@lerna/version,fs-extra,11.3.2
@lerna/version,chalk,5.6.2
@lerna/version,yargs,18.0.0
@lerna/version,is-ci,4.1.0
@lerna/version,tmp,0.2.5
@lerna/version,semver,7.7.3
@lerna/version,execa,9.6.0
@lerna/version,pretty-format,30.2.0
@lerna/version,tinyglobby,0.2.15
@lerna/version,load-json-file,7.0.1
@lerna/version,cmd-shim,8.0.0
@lerna/version,multimatch,7.0.0
@lerna/version,columnify,1.6.0
@lerna/version,read-cmd-shim,6.0.0
@lerna/version,p-queue,9.0.1
@lerna/version,p-map,7.0.4
@lerna/version,p-map-series,3.0.0
@lerna/version,write-file-atomic,7.0.0
@lerna/version,npm-package-arg,13.0.2
@lerna/version,dedent,1.7.0
@lerna/version,minimatch,10.1.1
@lerna/version,slash,5.1.0
@lerna/version,ssri,13.0.0
@lerna/version,tar,7.5.2
@lerna/version,byte-size,9.0.1
@lerna/version,has-unicode,2.0.1
@lerna/version,npm-registry-fetch,19.1.1
@lerna/version,write-pkg,7.0.0
@lerna/version,libnpmpublish,11.1.3
@lerna/version,@npmcli/package-json,7.0.4
@lerna/version,ci-info,4.3.1
@lerna/version,libnpmaccess,10.0.3
@lerna/version,make-fetch-happen,15.0.3
@lerna/version,@npmcli/arborist,9.1.7
@lerna/version,npm-packlist,10.0.3
@lerna/version,upath,2.0.1
@lerna/version,inquirer,13.0.1
@lerna/version,rimraf,6.1.2
@lerna/version,@npmcli/run-script,10.0.3
@lerna/version,is-stream,4.0.1
@lerna/version,make-dir,5.1.0
@lerna/version,temp-dir,3.0.0
@lerna/version,uuid,13.0.0
@lerna/version,@octokit/rest,22.0.1
@lerna/version,git-url-parse,16.1.0
@lerna/version,resolve-from,5.0.0
@lerna/version,cosmiconfig,9.0.0
@lerna/version,glob-parent,6.0.2
@lerna/version,set-blocking,2.0.0
@lerna/version,console-control-strings,1.1.0
@lerna/version,color-support,1.1.3
@lerna/version,aproba,2.1.0
@lerna/version,wide-align,1.1.5
@lerna/version,ini,6.0.0
@lerna/version,pify,6.1.0
@lerna/version,conventional-recommended-bump,11.2.0
@lerna/version,conventional-changelog-core,9.0.0
@lerna/version,get-stream,9.0.1
@lerna/version,p-pipe,4.0.0
@lerna/version,p-reduce,3.0.0
@lerna/version,p-waterfall,3.0.0
@lerna/version,pacote,21.0.4
@lerna/version,envinfo,7.20.0
@lerna/version,yargs-parser,22.0.0
@lerna/version,init-package-json,8.2.4
@lerna/version,validate-npm-package-license,3.0.4
@lerna/version,validate-npm-package-name,7.0.0
@lerna/version,through,2.3.8
@lerna/npm-publish,fs-extra,11.3.2
@lerna/npm-publish,semver,7.7.3
@lerna/npm-publish,tinyglobby,0.2.15
@lerna/npm-publish,p-queue,9.0.1
@lerna/npm-publish,p-map,7.0.4
@lerna/npm-publish,npm-package-arg,13.0.2
@lerna/npm-publish,minimatch,10.1.1
@lerna/npm-publish,ssri,13.0.0
@lerna/npm-publish,tar,7.5.2
@lerna/npm-publish,has-unicode,2.0.1
@lerna/npm-publish,npm-registry-fetch,19.1.1
@lerna/npm-publish,libnpmpublish,11.1.3
@lerna/npm-publish,@npmcli/package-json,7.0.4
@lerna/npm-publish,ci-info,4.3.1
@lerna/npm-publish,make-fetch-happen,15.0.3
@lerna/npm-publish,inquirer,13.0.1
@lerna/npm-publish,@npmcli/run-script,10.0.3
@lerna/npm-publish,set-blocking,2.0.0
@lerna/npm-publish,console-control-strings,1.1.0
@lerna/npm-publish,color-support,1.1.3
@lerna/npm-publish,aproba,2.1.0
@lerna/npm-publish,wide-align,1.1.5
@lerna/npm-publish,ini,6.0.0
@lerna/npm-publish,pify,6.1.0
@lerna/npm-publish,validate-npm-package-license,3.0.4
@lerna/npm-publish,validate-npm-package-name,7.0.0
@lerna/query-graph,semver,7.7.3
@lerna/query-graph,npm-package-arg,13.0.2
@lerna/query-graph,has-unicode,2.0.1
@lerna/query-graph,set-blocking,2.0.0
@lerna/query-graph,console-control-strings,1.1.0
@lerna/query-graph,color-support,1.1.3
@lerna/query-graph,aproba,2.1.0
@lerna/query-graph,wide-align,1.1.5
@lerna/query-graph,validate-npm-package-name,7.0.0
metro-react-native-babel-transformer,@babel/traverse,7.28.5
metro-react-native-babel-transformer,@babel/parser,7.28.5
metro-react-native-babel-transformer,@babel/generator,7.28.5
metro-react-native-babel-transformer,@babel/template,7.27.2
vite-plugin-pwa,rollup,4.53.3
@appium/types,lodash,4.17.21
@lerna/create,@nx/devkit,22.1.1
@lerna/create,fs-extra,11.3.2
@lerna/create,chalk,5.6.2
@lerna/create,yargs,18.0.0
@lerna/create,is-ci,4.1.0
@lerna/create,tmp,0.2.5
@lerna/create,semver,7.7.3
@lerna/create,execa,9.6.0
@lerna/create,pretty-format,30.2.0
@lerna/create,tinyglobby,0.2.15
@lerna/create,load-json-file,7.0.1
@lerna/create,cmd-shim,8.0.0
@lerna/create,multimatch,7.0.0
@lerna/create,columnify,1.6.0
@lerna/create,read-cmd-shim,6.0.0
@lerna/create,p-queue,9.0.1
@lerna/create,p-map,7.0.4
@lerna/create,p-map-series,3.0.0
@lerna/create,write-file-atomic,7.0.0
@lerna/create,npm-package-arg,13.0.2
@lerna/create,dedent,1.7.0
@lerna/create,minimatch,10.1.1
@lerna/create,slash,5.1.0
@lerna/create,ssri,13.0.0
@lerna/create,tar,7.5.2
@lerna/create,byte-size,9.0.1
@lerna/create,has-unicode,2.0.1
@lerna/create,npm-registry-fetch,19.1.1
@lerna/create,write-pkg,7.0.0
@lerna/create,libnpmpublish,11.1.3
@lerna/create,@npmcli/package-json,7.0.4
@lerna/create,ci-info,4.3.1
@lerna/create,make-fetch-happen,15.0.3
@lerna/create,@npmcli/arborist,9.1.7
@lerna/create,npm-packlist,10.0.3
@lerna/create,upath,2.0.1
@lerna/create,inquirer,13.0.1
@lerna/create,rimraf,6.1.2
@lerna/create,@npmcli/run-script,10.0.3
@lerna/create,is-stream,4.0.1
@lerna/create,make-dir,5.1.0
@lerna/create,temp-dir,3.0.0
@lerna/create,uuid,13.0.0
@lerna/create,@octokit/rest,22.0.1
@lerna/create,git-url-parse,16.1.0
@lerna/create,resolve-from,5.0.0
@lerna/create,cosmiconfig,9.0.0
@lerna/create,glob-parent,6.0.2
@lerna/create,set-blocking,2.0.0
@lerna/create,console-control-strings,1.1.0
@lerna/create,color-support,1.1.3
@lerna/create,aproba,2.1.0
@lerna/create,wide-align,1.1.5
@lerna/create,ini,6.0.0
@lerna/create,pify,6.1.0
@lerna/create,conventional-recommended-bump,11.2.0
@lerna/create,conventional-changelog-core,9.0.0
@lerna/create,get-stream,9.0.1
@lerna/create,p-reduce,3.0.0
@lerna/create,pacote,21.0.4
@lerna/create,yargs-parser,22.0.0
@lerna/create,init-package-json,8.2.4
@lerna/create,validate-npm-package-license,3.0.4
@lerna/create,validate-npm-package-name,7.0.0
@lerna/create,through,2.3.8
@google-cloud/pubsub,long,5.3.2
metro-transform-worker,@babel/traverse,7.28.5
metro-transform-worker,@babel/parser,7.28.5
metro-transform-worker,@babel/generator,7.28.5
metro-transform-worker,@babel/template,7.27.2
metro-babel-transformer,@babel/traverse,7.28.5
metro-babel-transformer,@babel/parser,7.28.5
metro-babel-transformer,@babel/generator,7.28.5
metro-babel-transformer,@babel/template,7.27.2
