seed,downloads,closureSize,closureExternalPhantomCount,rootExternalPhantomCount,vulnerablePhantomCount,observedAffectedPhantomCount,rollbackCandidatePhantomCount,strictRollbackVulnerable,affectedRangeRollbackCandidate,depcheckOkPackages,depcheckFailedPackages,depcheckMissingPackages,depcheckCoverage,fullyDepcheckCovered
@11ty/eleventy,2617810,110,0,0,0,0,0,false,false,108,3,0,0.972972972972973,false
@lumino/messaging,2622208,2,0,0,0,0,0,false,false,3,0,0,1,true
@lwc/jest-resolver,2631569,1,0,0,0,0,0,false,false,2,0,0,1,true
@resolver-engine/imports-fs,2635637,78,0,0,0,0,0,false,false,78,1,0,0.9873417721518988,false
@aws-sdk/client-database-migration-service,2638761,73,0,0,0,0,0,false,false,74,0,0,1,true
mml-react,2650339,91,0,0,0,0,0,false,false,91,1,0,0.9891304347826086,false
@hyperjump/pact,2655336,0,0,0,0,0,0,false,false,1,0,0,1,true
typedescriptor,2660775,1,0,0,0,0,0,false,false,0,2,0,0,false
pinst,2662203,0,0,0,0,0,0,false,false,1,0,0,1,true
@aws-amplify/graphql-model-transformer,2673629,19,0,0,0,0,0,false,false,20,0,0,1,true
@solana/wallet-adapter-coinhub,2703914,5,0,0,0,0,0,false,false,6,0,0,1,true
netrc-parser,2704069,24,0,0,0,0,0,false,false,25,0,0,1,true
request-stats,2710699,4,0,0,0,0,0,false,false,5,0,0,1,true
ember-data,2711851,279,3,0,1,0,1,false,true,189,91,0,0.675,false
@wordpress/blocks,2714779,77,0,0,0,0,0,false,false,72,6,0,0.9230769230769231,false
isutf8,2725606,0,0,0,0,0,0,false,false,1,0,0,1,true
expo-sqlite,2731693,1,0,0,0,0,0,false,false,1,1,0,0.5,false
pouchdb-collections,2739270,0,0,0,0,0,0,false,false,1,0,0,1,true
chai-dom,2739773,0,0,0,0,0,0,false,false,1,0,0,1,true
react-tweet,2742884,6,0,0,0,0,0,false,false,4,3,0,0.5714285714285714,false
@cypress/schematic,2750744,3,0,0,0,0,0,false,false,2,2,0,0.5,false
vue-cookies,2759405,0,0,0,0,0,0,false,false,1,0,0,1,true
@n8n/typeorm,2762575,49,0,0,0,0,0,false,false,49,1,0,0.98,false
@nx/express,2762931,435,0,0,0,0,0,false,false,295,141,0,0.676605504587156,false
popper-max-size-modifier,2769356,0,0,0,0,0,0,false,false,0,1,0,0,false
h3-compression,2775753,0,0,0,0,0,0,false,false,1,0,0,1,true
json-mask,2778807,0,0,0,0,0,0,false,false,1,0,0,1,true
babel-plugin-transform-vue-jsx,2782865,1,0,0,0,0,0,false,false,2,0,0,1,true
@pnpm/default-reporter,2784246,135,0,0,0,0,0,false,false,96,40,0,0.7058823529411765,false
ids,2791316,0,0,0,0,0,0,false,false,1,0,0,1,true
js-nacl,2793976,0,0,0,0,0,0,false,false,1,0,0,1,true
@nanostores/react,2794468,0,0,0,0,0,0,false,false,1,0,0,1,true
puppeteer-screen-recorder,2801265,4,0,0,0,0,0,false,false,5,0,0,1,true
realpath-missing,2804595,0,0,0,0,0,0,false,false,0,1,0,0,false
@inversifyjs/prototype-utils,2808425,1,0,0,0,0,0,false,false,0,2,0,0,false
