phantomName,version,occurrences,vulnerabilityCount,affectedNowCount,fixedAvailable,maxSeverity,advisoryIds
lodash,4.17.21,13,10,3,true,CRITICAL,GHSA-29mw-wpgm-hmr9;GHSA-35jh-r3h4-6jhm;GHSA-4xc9-xhrj-v574;GHSA-f23m-r3pf-42rh;GHSA-fvqr-27wr-82fm;GHSA-jf85-cpcp-j695;GHSA-p6mc-m468-83gw;GHSA-r5fr-rjxr-66jc;GHSA-x5rq-j2xg-h7qm;GHSA-xxjr-mmjv-4gpg
@babel/traverse,7.28.5,9,1,0,true,CRITICAL,GHSA-67hx-6x53-jw92
d3-color,3.1.0,9,1,0,true,HIGH,GHSA-36jr-mh4h-2g58
semver,7.7.3,9,2,0,true,HIGH,GHSA-c2qf-rxjj-qqgw;GHSA-x6fg-f45m-jf5q
ini,6.0.0,7,1,0,true,HIGH,GHSA-qqgx-2p2h-9c37
minimatch,10.1.1,6,5,3,true,HIGH,GHSA-23c5-xmqv-rm74;GHSA-3ppc-4f35-3m26;GHSA-7r86-cg39-jmmj;GHSA-f8q6-p94x-37v3;GHSA-hxm2-r34f-qmc5
ssri,13.0.0,6,2,0,true,HIGH,GHSA-325j-24f4-qv5x;GHSA-vx3p-948g-6vhq
tar,7.5.2,6,15,6,true,HIGH,GHSA-29xp-372q-xqph;GHSA-34x7-hfp2-rc4v;GHSA-3jfq-g458-7qm9;GHSA-5955-9wpr-37jh;GHSA-83g3-92jg-28cx;GHSA-8qq5-rm4j-mr97;GHSA-9ppj-qmqm-q256;GHSA-9r2w-394v-53qc;GHSA-f5x3-32g6-xq36;GHSA-gfjr-3jmm-4g9v;GHSA-j44m-qm6p-hp7m;GHSA-qffp-2rhf-9h96;GHSA-qq89-hq3f-393p;GHSA-r628-mhmh-qjhw;GHSA-r6q2-hw4h-h46w
npm-registry-fetch,19.1.1,5,1,0,true,MODERATE,GHSA-jmqm-f2gx-4fjv
@npmcli/arborist,9.1.7,4,2,0,true,HIGH,GHSA-2h3h-q99f-3fhc;GHSA-gmw6-94gg-2rc2
@nx/devkit,22.1.1,4,2,0,false,CRITICAL,GHSA-cxm3-wv7p-598c;MAL-2025-41436
chalk,5.6.2,4,1,0,false,UNKNOWN,MAL-2025-46969
glob-parent,6.0.2,4,2,0,true,HIGH,GHSA-cj88-88mr-972w;GHSA-ww39-953v-wcq6
tmp,0.2.5,4,1,0,true,LOW,GHSA-52f5-9888-hmc6
uuid,13.0.0,4,1,1,true,MODERATE,GHSA-w5hq-g745-h8pq
yargs-parser,22.0.0,4,1,0,true,MODERATE,GHSA-p9pc-299p-vxgp
axios,1.13.2,2,25,16,true,HIGH,GHSA-3p68-rc4w-qgx5;GHSA-3w6x-2g7m-8v23;GHSA-42xw-2xvc-qx8m;GHSA-43fc-jf86-j433;GHSA-445q-vr5w-6q77;GHSA-4hjh-wcwx-xvwj;GHSA-4w2v-q235-vp99;GHSA-5c9x-8gcm-mpgx;GHSA-62hf-57xw-28j9;GHSA-6chq-wfr3-2hj9;GHSA-8hc4-vh64-cxmj;GHSA-cph5-m8f7-6c5x;GHSA-fvcv-3m26-pcqx;GHSA-jr5f-v2jv-69x6;GHSA-m7pr-hjqh-92cm;GHSA-pf86-5x62-jrwf;GHSA-pmwg-cvhr-8vh7;GHSA-q8qp-cvcw-x6jj;GHSA-qj83-cq47-w5f8;GHSA-vf2m-468p-8v99;GHSA-w9j2-pvgh-6h63;GHSA-wf5p-g6vw-rhxx;GHSA-xhjh-pmcv-23jw;GHSA-xx6v-rp6x-q39c;MAL-2026-2307
async,3.2.6,1,1,0,true,HIGH,GHSA-fwr7-v2mv-hh25
jpeg-js,0.4.4,1,2,0,true,HIGH,GHSA-w7q9-p3jq-fmhm;GHSA-xvf7-4v9q-58w6
rollup,4.53.3,1,2,1,true,HIGH,GHSA-gcx4-mw62-g8wm;GHSA-mw96-cpmx-2vgc
vue,3.5.25,1,1,0,true,LOW,GHSA-5j4c-8p2g-v4jx
ws,8.18.3,1,6,1,true,HIGH,GHSA-2mhh-w6q8-5hxw;GHSA-3h5v-q93c-6h6q;GHSA-58qx-3vcg-4xpx;GHSA-5v72-xg48-5rpm;GHSA-6663-c963-2gqg;GHSA-6fc8-4gx4-v693
